Timestamp,Email address,What is your name?,Please enter your email address.,What is your age group?,What is your gender?,How frequently do you order food from Swiggy?,What type of food do you usually order?,What time of day do you usually place your order?,What is your average order value?,Rate your overall delivery experience with Swiggy?,Was the delivery on time?,How would you rate the food packaging quality?,Did you face any issues with the delivery executive?,How easy is it to navigate the Swiggy app/website?,What is your preferred payment method?,Which mode do you prefer more?
24/10/2024 17:08:25,user20@example.com,User 20,user20@example.com,18-24,Male,Monthly,Chinese Cuisine,Breakfast (6 AM - 10 AM),More than ₹1000,1,Yes,5,No,1,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:26,user21@example.com,User 21,user21@example.com,25-34,Female,Weekly,Desserts,Lunch (12 PM - 3 PM),₹500 - ₹1000,5,Yes,3,No,2,Cash on Delivery,Cafes
24/10/2024 17:08:26,user22@example.com,User 22,user22@example.com,45-54,Prefer not to say,Occasionally,Healthy/Organic,Dinner (7 PM - 10 PM),₹200 - ₹500,1,No,4,No,1,Credit/Debit Card,Cafes
24/10/2024 17:08:26,user23@example.com,User 23,user23@example.com,35-44,Prefer not to say,Daily,Beverages,Late Night (After 10 PM),Less than ₹200,1,No,1,No,5,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:26,user24@example.com,User 24,user24@example.com,25-34,Male,Monthly,Desserts,Dinner (7 PM - 10 PM),₹500 - ₹1000,5,No,5,Yes,1,Credit/Debit Card,Cafes
24/10/2024 17:08:27,user25@example.com,User 25,user25@example.com,55+,Prefer not to say,Weekly,Desserts,Lunch (12 PM - 3 PM),₹200 - ₹500,1,No,4,Yes,1,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:27,user26@example.com,User 26,user26@example.com,25-34,Female,Weekly,Indian Cuisine,Lunch (12 PM - 3 PM),₹500 - ₹1000,1,No,3,No,3,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:28,user27@example.com,User 27,user27@example.com,25-34,Female,Weekly,Desserts,Late Night (After 10 PM),₹500 - ₹1000,4,Yes,2,Yes,2,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:28,user28@example.com,User 28,user28@example.com,35-44,Prefer not to say,Occasionally,Beverages,Lunch (12 PM - 3 PM),₹200 - ₹500,2,Yes,3,Yes,4,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:28,user29@example.com,User 29,user29@example.com,18-24,Male,Daily,Healthy/Organic,Breakfast (6 AM - 10 AM),Less than ₹200,4,No,3,Yes,4,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:29,user30@example.com,User 30,user30@example.com,18-24,Non-binary/Other,Daily,Healthy/Organic,Lunch (12 PM - 3 PM),Less than ₹200,4,Yes,2,No,2,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:29,user31@example.com,User 31,user31@example.com,45-54,Female,Monthly,Chinese Cuisine,Late Night (After 10 PM),₹500 - ₹1000,1,No,1,Yes,1,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:29,user32@example.com,User 32,user32@example.com,25-34,Male,Monthly,Healthy/Organic,Breakfast (6 AM - 10 AM),Less than ₹200,4,Yes,3,Yes,4,Cash on Delivery,Cafes
24/10/2024 17:08:29,user33@example.com,User 33,user33@example.com,45-54,Male,Weekly,Indian Cuisine,Dinner (7 PM - 10 PM),More than ₹1000,4,Yes,1,No,2,Cash on Delivery,Dine restaurant
24/10/2024 17:08:30,user34@example.com,User 34,user34@example.com,18-24,Female,Daily,Italian Cuisine,Breakfast (6 AM - 10 AM),More than ₹1000,3,Yes,5,Yes,4,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:30,user35@example.com,User 35,user35@example.com,45-54,Prefer not to say,Occasionally,Indian Cuisine,Late Night (After 10 PM),₹500 - ₹1000,2,No,1,Yes,3,Credit/Debit Card,Cafes
24/10/2024 17:08:30,user36@example.com,User 36,user36@example.com,25-34,Male,Occasionally,Chinese Cuisine,Dinner (7 PM - 10 PM),₹200 - ₹500,1,Yes,5,No,3,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:31,user37@example.com,User 37,user37@example.com,55+,Non-binary/Other,Monthly,Italian Cuisine,Dinner (7 PM - 10 PM),₹500 - ₹1000,4,Yes,3,No,1,Net Banking,Cafes
24/10/2024 17:08:31,user38@example.com,User 38,user38@example.com,18-24,Prefer not to say,Daily,Chinese Cuisine,Late Night (After 10 PM),Less than ₹200,4,Yes,2,No,2,Cash on Delivery,Cafes
24/10/2024 17:08:31,user39@example.com,User 39,user39@example.com,25-34,Non-binary/Other,Weekly,Desserts,Breakfast (6 AM - 10 AM),Less than ₹200,2,No,3,No,2,Cash on Delivery,Dine restaurant
24/10/2024 17:08:32,user40@example.com,User 40,user40@example.com,55+,Non-binary/Other,Monthly,Indian Cuisine,Dinner (7 PM - 10 PM),Less than ₹200,4,No,5,No,2,Cash on Delivery,Dine restaurant
24/10/2024 17:08:32,user41@example.com,User 41,user41@example.com,18-24,Non-binary/Other,Occasionally,Healthy/Organic,Late Night (After 10 PM),₹500 - ₹1000,4,Yes,4,No,3,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:32,user42@example.com,User 42,user42@example.com,18-24,Non-binary/Other,Weekly,Chinese Cuisine,Dinner (7 PM - 10 PM),₹200 - ₹500,4,No,3,No,1,Net Banking,Cafes
24/10/2024 17:08:32,user43@example.com,User 43,user43@example.com,25-34,Prefer not to say,Monthly,Desserts,Late Night (After 10 PM),Less than ₹200,4,No,1,No,2,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:33,user44@example.com,User 44,user44@example.com,55+,Female,Daily,Other,Breakfast (6 AM - 10 AM),₹500 - ₹1000,4,No,4,Yes,4,Credit/Debit Card,Cafes
24/10/2024 17:08:33,user45@example.com,User 45,user45@example.com,35-44,Male,Monthly,Desserts,Breakfast (6 AM - 10 AM),₹200 - ₹500,1,Yes,3,No,1,Net Banking,Dine restaurant
24/10/2024 17:08:33,user46@example.com,User 46,user46@example.com,25-34,Prefer not to say,Weekly,Italian Cuisine,Late Night (After 10 PM),Less than ₹200,3,No,4,No,3,Cash on Delivery,Dine restaurant
24/10/2024 17:08:33,user47@example.com,User 47,user47@example.com,45-54,Female,Weekly,Healthy/Organic,Late Night (After 10 PM),₹500 - ₹1000,2,Yes,4,No,2,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:34,user48@example.com,User 48,user48@example.com,18-24,Prefer not to say,Monthly,Chinese Cuisine,Lunch (12 PM - 3 PM),Less than ₹200,3,Yes,4,Yes,3,Net Banking,Cafes
24/10/2024 17:08:34,user49@example.com,User 49,user49@example.com,25-34,Female,Occasionally,Desserts,Dinner (7 PM - 10 PM),₹200 - ₹500,4,Yes,3,Yes,5,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:34,user50@example.com,User 50,user50@example.com,45-54,Male,Daily,Other,Dinner (7 PM - 10 PM),₹200 - ₹500,3,Yes,3,No,3,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:34,user51@example.com,User 51,user51@example.com,25-34,Prefer not to say,Daily,Other,Dinner (7 PM - 10 PM),More than ₹1000,4,Yes,4,Yes,1,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:35,user52@example.com,User 52,user52@example.com,25-34,Male,Monthly,Italian Cuisine,Breakfast (6 AM - 10 AM),₹500 - ₹1000,2,Yes,3,No,2,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:35,user53@example.com,User 53,user53@example.com,45-54,Male,Weekly,Beverages,Breakfast (6 AM - 10 AM),₹200 - ₹500,1,No,3,No,3,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:35,user54@example.com,User 54,user54@example.com,55+,Female,Monthly,Healthy/Organic,Lunch (12 PM - 3 PM),₹200 - ₹500,2,No,1,Yes,4,Cash on Delivery,Dine restaurant
24/10/2024 17:08:35,user55@example.com,User 55,user55@example.com,35-44,Non-binary/Other,Occasionally,Healthy/Organic,Breakfast (6 AM - 10 AM),₹500 - ₹1000,2,Yes,1,Yes,5,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:36,user56@example.com,User 56,user56@example.com,25-34,Female,Monthly,Desserts,Late Night (After 10 PM),Less than ₹200,2,No,1,No,3,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:36,user57@example.com,User 57,user57@example.com,55+,Non-binary/Other,Daily,Indian Cuisine,Late Night (After 10 PM),₹500 - ₹1000,1,Yes,2,Yes,3,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:08:36,user58@example.com,User 58,user58@example.com,55+,Male,Occasionally,Indian Cuisine,Lunch (12 PM - 3 PM),₹200 - ₹500,5,No,4,No,3,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:36,user59@example.com,User 59,user59@example.com,45-54,Female,Weekly,Chinese Cuisine,Late Night (After 10 PM),Less than ₹200,3,Yes,4,Yes,4,Cash on Delivery,Cafes
24/10/2024 17:08:37,user60@example.com,User 60,user60@example.com,18-24,Male,Weekly,Other,Breakfast (6 AM - 10 AM),₹200 - ₹500,2,No,1,Yes,3,Cash on Delivery,Cafes
24/10/2024 17:08:37,user61@example.com,User 61,user61@example.com,45-54,Female,Daily,Chinese Cuisine,Breakfast (6 AM - 10 AM),₹500 - ₹1000,3,Yes,5,Yes,4,Credit/Debit Card,Cafes
24/10/2024 17:08:37,user62@example.com,User 62,user62@example.com,25-34,Female,Occasionally,Other,Dinner (7 PM - 10 PM),More than ₹1000,4,Yes,4,No,5,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:37,user63@example.com,User 63,user63@example.com,25-34,Non-binary/Other,Monthly,Other,Lunch (12 PM - 3 PM),₹500 - ₹1000,5,No,4,No,3,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:38,user64@example.com,User 64,user64@example.com,35-44,Non-binary/Other,Occasionally,Desserts,Breakfast (6 AM - 10 AM),₹200 - ₹500,2,Yes,5,No,3,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:38,user65@example.com,User 65,user65@example.com,45-54,Female,Occasionally,Indian Cuisine,Lunch (12 PM - 3 PM),Less than ₹200,1,No,1,Yes,1,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:08:38,user66@example.com,User 66,user66@example.com,25-34,Non-binary/Other,Occasionally,Chinese Cuisine,Dinner (7 PM - 10 PM),Less than ₹200,2,No,2,Yes,3,Net Banking,Cafes
24/10/2024 17:08:38,user67@example.com,User 67,user67@example.com,25-34,Female,Monthly,Chinese Cuisine,Lunch (12 PM - 3 PM),₹500 - ₹1000,2,No,5,Yes,1,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:39,user68@example.com,User 68,user68@example.com,55+,Male,Monthly,Healthy/Organic,Dinner (7 PM - 10 PM),₹200 - ₹500,2,No,4,No,1,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:08:39,user69@example.com,User 69,user69@example.com,55+,Non-binary/Other,Monthly,Other,Lunch (12 PM - 3 PM),Less than ₹200,4,Yes,2,No,2,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:08:39,user70@example.com,User 70,user70@example.com,55+,Prefer not to say,Occasionally,Indian Cuisine,Lunch (12 PM - 3 PM),₹500 - ₹1000,1,No,3,No,2,Net Banking,Cafes
24/10/2024 17:08:39,user71@example.com,User 71,user71@example.com,35-44,Prefer not to say,Weekly,Desserts,Dinner (7 PM - 10 PM),More than ₹1000,5,Yes,1,No,4,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:40,user72@example.com,User 72,user72@example.com,45-54,Prefer not to say,Monthly,Healthy/Organic,Lunch (12 PM - 3 PM),More than ₹1000,2,Yes,1,Yes,2,Net Banking,Cafes
24/10/2024 17:08:40,user73@example.com,User 73,user73@example.com,18-24,Prefer not to say,Weekly,Beverages,Breakfast (6 AM - 10 AM),Less than ₹200,3,Yes,3,No,2,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:40,user74@example.com,User 74,user74@example.com,35-44,Non-binary/Other,Monthly,Chinese Cuisine,Late Night (After 10 PM),Less than ₹200,2,Yes,2,Yes,1,Net Banking,Dine restaurant
24/10/2024 17:08:40,user75@example.com,User 75,user75@example.com,18-24,Prefer not to say,Occasionally,Beverages,Late Night (After 10 PM),More than ₹1000,3,Yes,1,Yes,2,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:41,user76@example.com,User 76,user76@example.com,45-54,Female,Monthly,Other,Lunch (12 PM - 3 PM),₹200 - ₹500,5,No,2,Yes,3,Net Banking,Cafes
24/10/2024 17:08:41,user77@example.com,User 77,user77@example.com,45-54,Prefer not to say,Occasionally,Beverages,Breakfast (6 AM - 10 AM),More than ₹1000,5,Yes,1,Yes,4,Net Banking,Cafes
24/10/2024 17:08:41,user78@example.com,User 78,user78@example.com,55+,Male,Occasionally,Italian Cuisine,Late Night (After 10 PM),₹200 - ₹500,5,No,3,No,4,Cash on Delivery,Cafes
24/10/2024 17:08:42,user79@example.com,User 79,user79@example.com,35-44,Non-binary/Other,Daily,Other,Breakfast (6 AM - 10 AM),Less than ₹200,4,No,3,No,4,Net Banking,Dine restaurant
24/10/2024 17:08:42,user80@example.com,User 80,user80@example.com,55+,Male,Monthly,Beverages,Dinner (7 PM - 10 PM),₹200 - ₹500,3,Yes,3,Yes,5,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:42,user81@example.com,User 81,user81@example.com,18-24,Female,Occasionally,Chinese Cuisine,Lunch (12 PM - 3 PM),₹500 - ₹1000,4,No,1,Yes,4,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:08:42,user82@example.com,User 82,user82@example.com,18-24,Female,Daily,Italian Cuisine,Breakfast (6 AM - 10 AM),₹200 - ₹500,1,No,1,Yes,5,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:43,user83@example.com,User 83,user83@example.com,35-44,Non-binary/Other,Monthly,Indian Cuisine,Late Night (After 10 PM),₹500 - ₹1000,4,Yes,4,No,2,Credit/Debit Card,Cafes
24/10/2024 17:08:43,user84@example.com,User 84,user84@example.com,18-24,Non-binary/Other,Weekly,Beverages,Lunch (12 PM - 3 PM),₹200 - ₹500,3,Yes,2,No,1,Cash on Delivery,Cafes
24/10/2024 17:08:43,user85@example.com,User 85,user85@example.com,18-24,Female,Monthly,Other,Lunch (12 PM - 3 PM),Less than ₹200,2,No,4,Yes,2,Net Banking,Cafes
24/10/2024 17:08:43,user86@example.com,User 86,user86@example.com,35-44,Female,Daily,Italian Cuisine,Dinner (7 PM - 10 PM),₹200 - ₹500,3,No,2,Yes,1,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:44,user87@example.com,User 87,user87@example.com,35-44,Female,Occasionally,Italian Cuisine,Lunch (12 PM - 3 PM),₹500 - ₹1000,4,Yes,2,Yes,2,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:44,user88@example.com,User 88,user88@example.com,18-24,Male,Occasionally,Italian Cuisine,Dinner (7 PM - 10 PM),Less than ₹200,1,Yes,1,No,4,Cash on Delivery,Cafes
24/10/2024 17:08:45,user89@example.com,User 89,user89@example.com,45-54,Female,Weekly,Beverages,Dinner (7 PM - 10 PM),More than ₹1000,4,Yes,4,Yes,5,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:45,user90@example.com,User 90,user90@example.com,35-44,Male,Daily,Indian Cuisine,Dinner (7 PM - 10 PM),₹500 - ₹1000,5,Yes,1,Yes,4,Net Banking,Dine restaurant
24/10/2024 17:08:45,user91@example.com,User 91,user91@example.com,25-34,Non-binary/Other,Monthly,Chinese Cuisine,Dinner (7 PM - 10 PM),₹200 - ₹500,4,No,2,No,5,Cash on Delivery,Cafes
24/10/2024 17:08:45,user92@example.com,User 92,user92@example.com,45-54,Non-binary/Other,Daily,Beverages,Breakfast (6 AM - 10 AM),₹200 - ₹500,4,Yes,4,No,4,Net Banking,Cafes
24/10/2024 17:08:46,user93@example.com,User 93,user93@example.com,25-34,Prefer not to say,Occasionally,Healthy/Organic,Lunch (12 PM - 3 PM),₹500 - ₹1000,3,No,3,No,3,Credit/Debit Card,Dine restaurant
24/10/2024 17:08:46,user94@example.com,User 94,user94@example.com,18-24,Female,Weekly,Chinese Cuisine,Late Night (After 10 PM),More than ₹1000,4,No,1,No,1,Cash on Delivery,Cafes
24/10/2024 17:08:46,user95@example.com,User 95,user95@example.com,25-34,Male,Daily,Beverages,Late Night (After 10 PM),₹200 - ₹500,1,Yes,5,No,5,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:08:46,user96@example.com,User 96,user96@example.com,35-44,Prefer not to say,Weekly,Healthy/Organic,Dinner (7 PM - 10 PM),Less than ₹200,2,Yes,1,Yes,5,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:08:47,user97@example.com,User 97,user97@example.com,55+,Prefer not to say,Occasionally,Healthy/Organic,Lunch (12 PM - 3 PM),₹200 - ₹500,4,No,1,No,4,Net Banking,Dine restaurant
24/10/2024 17:08:47,user98@example.com,User 98,user98@example.com,55+,Female,Weekly,Desserts,Lunch (12 PM - 3 PM),₹500 - ₹1000,2,No,3,Yes,4,Credit/Debit Card,Cafes
24/10/2024 17:08:47,user99@example.com,User 99,user99@example.com,18-24,Male,Weekly,Chinese Cuisine,Breakfast (6 AM - 10 AM),₹200 - ₹500,2,Yes,5,No,4,Credit/Debit Card,Cafes
24/10/2024 17:08:47,user100@example.com,User 100,user100@example.com,25-34,Female,Daily,Indian Cuisine,Late Night (After 10 PM),More than ₹1000,1,No,4,Yes,3,Cash on Delivery,Cafes
24/10/2024 17:09:38,user1@example.com,User 1,user1@example.com,25-34,Prefer not to say,Occasionally,Chinese Cuisine,Breakfast (6 AM - 10 AM),More than ₹1000,5,No,4,Yes,5,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:09:38,user2@example.com,User 2,user2@example.com,18-24,Female,Monthly,Other,Late Night (After 10 PM),₹500 - ₹1000,5,Yes,5,No,3,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:09:38,user3@example.com,User 3,user3@example.com,18-24,Non-binary/Other,Occasionally,Healthy/Organic,Dinner (7 PM - 10 PM),More than ₹1000,4,Yes,3,No,3,Credit/Debit Card,Cafes
24/10/2024 17:09:38,user4@example.com,User 4,user4@example.com,18-24,Male,Daily,Indian Cuisine,Lunch (12 PM - 3 PM),₹500 - ₹1000,2,Yes,5,Yes,5,Credit/Debit Card,Dine restaurant
24/10/2024 17:09:39,user5@example.com,User 5,user5@example.com,55+,Prefer not to say,Weekly,Desserts,Lunch (12 PM - 3 PM),Less than ₹200,2,No,4,No,1,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:09:39,user6@example.com,User 6,user6@example.com,25-34,Non-binary/Other,Weekly,Desserts,Breakfast (6 AM - 10 AM),Less than ₹200,2,No,3,No,1,Net Banking,Dine restaurant
24/10/2024 17:09:39,user7@example.com,User 7,user7@example.com,45-54,Male,Weekly,Desserts,Dinner (7 PM - 10 PM),Less than ₹200,4,No,4,No,5,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:09:40,user8@example.com,User 8,user8@example.com,25-34,Female,Occasionally,Beverages,Late Night (After 10 PM),Less than ₹200,5,Yes,5,Yes,5,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:09:41,user9@example.com,User 9,user9@example.com,35-44,Prefer not to say,Daily,Beverages,Dinner (7 PM - 10 PM),₹500 - ₹1000,3,No,2,No,1,Cash on Delivery,Dine restaurant
24/10/2024 17:09:41,user10@example.com,User 10,user10@example.com,25-34,Male,Monthly,Healthy/Organic,Breakfast (6 AM - 10 AM),More than ₹1000,4,No,3,No,2,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:09:42,user11@example.com,User 11,user11@example.com,18-24,Female,Monthly,Other,Late Night (After 10 PM),₹500 - ₹1000,4,Yes,3,Yes,2,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:09:42,user12@example.com,User 12,user12@example.com,35-44,Female,Weekly,Beverages,Dinner (7 PM - 10 PM),₹200 - ₹500,1,Yes,2,No,2,"Wallet (e.g., Paytm, Amazon Pay)",Cafes
24/10/2024 17:09:42,user13@example.com,User 13,user13@example.com,25-34,Non-binary/Other,Weekly,Other,Late Night (After 10 PM),₹200 - ₹500,5,Yes,5,No,4,Credit/Debit Card,Cafes
24/10/2024 17:09:43,user14@example.com,User 14,user14@example.com,55+,Male,Occasionally,Chinese Cuisine,Dinner (7 PM - 10 PM),₹500 - ₹1000,5,Yes,5,No,3,"UPI (e.g., Google Pay, PhonePe)",Dine restaurant
24/10/2024 17:09:44,user15@example.com,User 15,user15@example.com,45-54,Non-binary/Other,Occasionally,Healthy/Organic,Dinner (7 PM - 10 PM),More than ₹1000,5,No,4,Yes,5,Credit/Debit Card,Cafes
24/10/2024 17:09:44,user16@example.com,User 16,user16@example.com,18-24,Non-binary/Other,Occasionally,Beverages,Late Night (After 10 PM),₹200 - ₹500,1,Yes,3,No,3,"UPI (e.g., Google Pay, PhonePe)",Cafes
24/10/2024 17:09:44,user17@example.com,User 17,user17@example.com,35-44,Male,Occasionally,Other,Dinner (7 PM - 10 PM),₹200 - ₹500,2,No,3,Yes,5,Net Banking,Cafes
24/10/2024 17:09:44,user18@example.com,User 18,user18@example.com,25-34,Male,Weekly,Italian Cuisine,Late Night (After 10 PM),₹200 - ₹500,5,No,1,No,4,Credit/Debit Card,Dine restaurant
24/10/2024 17:09:45,user19@example.com,User 19,user19@example.com,25-34,Male,Weekly,Beverages,Lunch (12 PM - 3 PM),More than ₹1000,2,Yes,1,Yes,3,Credit/Debit Card,Dine restaurant
24/10/2024 17:09:45,user20@example.com,User 20,user20@example.com,25-34,Non-binary/Other,Monthly,Healthy/Organic,Breakfast (6 AM - 10 AM),Less than ₹200,3,Yes,2,No,5,Credit/Debit Card,Dine restaurant
24/10/2024 17:09:46,user21@example.com,User 21,user21@example.com,18-24,Non-binary/Other,Daily,Healthy/Organic,Lunch (12 PM - 3 PM),₹500 - ₹1000,5,No,1,Yes,4,"Wallet (e.g., Paytm, Amazon Pay)",Dine restaurant
24/10/2024 17:09:46,user22@example.com,User 22,user22@example.com,55+,Prefer not to say,Daily,Other,Breakfast (6 AM - 10 AM),₹500 - ₹1000,2,No,2,No,4,Cash on Delivery,Cafes
24/10/2024 17:09:46,user23@example.com,User 23,user23@example.com,25-34,Female,Daily,Desserts,Breakfast (6 AM - 10 AM),₹500 - ₹1000,3,Yes,2,No,5,"UPI (e.g., Google Pay, PhonePe)",Cafes
